"State","MSN","2021"
"NH","MGACV",1894.30
"NH","MGCCB",1655.00
"NH","MGCCD",24.24
"NH","MGCCP",328.00
"NH","MGCCV",40.10
"NH","MGICB",929.00
"NH","MGICD",24.24
"NH","MGICP",184.00
"NH","MGICV",22.50
"NH","MGTCB",80717.00
"NH","MGTCD",24.24
"NH","MGTCP",15984.00
"NH","MGTCV",1956.90
"NJ","MGACB",396159.00
"NJ","MGACD",24.16
"NJ","MGACP",78447.00
"NJ","MGACV",9572.00
"NJ","MGCCB",11290.00
"NJ","MGCCD",24.16
"NJ","MGCCP",2236.00
"NJ","MGCCV",272.80
"NJ","MGICB",6686.00
"NJ","MGICD",24.16
"NJ","MGICP",1324.00
"NJ","MGICV",161.50
"NJ","MGTCB",414134.00
"NJ","MGTCD",24.16
"NJ","MGTCP",82007.00
"NJ","MGTCV",10006.30
"NM","MGACB",117434.00
"NM","MGACD",23.26
"NM","MGACP",23254.00
"NM","MGACV",2731.50
"NM","MGCCB",2028.00
"NM","MGCCD",23.26
"NM","MGCCP",401.00
"NM","MGCCV",47.20
"NM","MGICB",2719.00
"NM","MGICD",23.26
"NM","MGICP",539.00
"NM","MGICV",63.30
"NM","MGTCB",122181.00
"NM","MGTCD",23.26
"NM","MGTCP",24194.00
"NM","MGTCV",2841.90
"NV","MGACB",135545.00
"NV","MGACD",29.00
"NV","MGACP",26841.00
"NV","MGACV",3930.50
"NV","MGCCB",4464.00
"NV","MGCCD",29.00
"NV","MGCCP",884.00
"NV","MGCCV",129.50
"NV","MGICB",2264.00
"NV","MGICD",29.00
"NV","MGICP",448.00
"NV","MGICV",65.60
"NV","MGTCB",142273.00
"NV","MGTCD",29.00
"NV","MGTCP",28173.00
"NV","MGTCV",4125.60
"NY","MGACB",596787.00
"NY","MGACD",23.87
"NY","MGACP",118176.00
"NY","MGACV",14242.60
"NY","MGCCB",15885.00
"NY","MGCCD",23.87
"NY","MGCCP",3146.00
"NY","MGCCV",379.10
"NY","MGICB",14438.00
"NY","MGICD",23.87
"NY","MGICP",2859.00
"NY","MGICV",344.60
"NY","MGTCB",627110.00
"NY","MGTCD",23.87
"NY","MGTCP",124180.00
"NY","MGTCV",14966.30
"OH","MGACB",540581.00
"OH","MGACD",24.12
"OH","MGACP",107046.00
"OH","MGACV",13039.00
"OH","MGCCB",16195.00
"OH","MGCCD",24.12
"OH","MGCCP",3207.00
"OH","MGCCV",390.60
"OH","MGICB",8055.00
"OH","MGICD",24.12
"OH","MGICP",1595.00
"OH","MGICV",194.30
"OH","MGTCB",564831.00
"OH","MGTCD",24.12
"OH","MGTCP",111848.00
"OH","MGTCV",13623.90
"OK","MGACB",218379.00
"OK","MGACD",22.93
"OK","MGACP",43243.00
"OK","MGACV",5008.30
"OK","MGCCB",4545.00
"OK","MGCCD",22.93
"OK","MGCCP",900.00
"OK","MGCCV",104.20
"OK","MGICB",4578.00
"OK","MGICD",22.93
"OK","MGICP",907.00
"OK","MGICV",105.00
"OK","MGTCB",227502.00
"OK","MGTCD",22.93
"OK","MGTCP",45050.00
"OK","MGTCV",5217.60
"OR","MGACB",171509.00
"OR","MGACD",29.74
"OR","MGACP",33962.00
"OR","MGACV",5100.90
"OR","MGCCB",4925.00
"OR","MGCCD",29.74
"OR","MGCCP",975.00
"OR","MGCCV",146.50
"OR","MGICB",3244.00
"OR","MGICD",29.74
"OR","MGICP",642.00
"OR","MGICV",96.50
"OR","MGTCB",179679.00
"OR","MGTCD",29.74
"OR","MGTCP",35580.00
"OR","MGTCV",5343.90
"PA","MGACB",519615.00
"PA","MGACD",25.62
"PA","MGACP",102894.00
"PA","MGACV",13310.80
"PA","MGCCB",14910.00
"PA","MGCCD",25.62
"PA","MGCCP",2953.00
"PA","MGCCV",381.90
"PA","MGICB",7648.00
"PA","MGICD",25.62
"PA","MGICP",1514.00
"PA","MGICV",195.90
"PA","MGTCB",542173.00
"PA","MGTCD",25.62
"PA","MGTCP",107361.00
"PA","MGTCV",13888.70
"RI","MGACB",40042.00
"RI","MGACD",24.91
"RI","MGACP",7929.00
"RI","MGACV",997.50
"RI","MGCCB",1075.00
"RI","MGCCD",24.91
"RI","MGCCP",213.00
"RI","MGCCV",26.80
"RI","MGICB",629.00
"RI","MGICD",24.91
"RI","MGICP",125.00
"RI","MGICV",15.70
"RI","MGTCB",41746.00
"RI","MGTCD",24.91
"RI","MGTCP",8266.00
"RI","MGTCV",1039.90
"SC","MGACB",321845.00
"SC","MGACD",22.36
"SC","MGACP",63732.00
"SC","MGACV",7197.90
"SC","MGCCB",6630.00
"SC","MGCCD",22.36
"SC","MGCCP",1313.00
"SC","MGCCV",148.30
"SC","MGICB",3111.00
"SC","MGICD",22.36
"SC","MGICP",616.00
"SC","MGICV",69.60
"SC","MGTCB",331586.00
"SC","MGTCD",22.36
"SC","MGTCP",65661.00
"SC","MGTCV",7415.80
"SD","MGACB",57350.00
"SD","MGACD",24.40
"SD","MGACP",11356.00
"SD","MGACV",1399.10
"SD","MGCCB",675.00
"SD","MGCCD",24.40
"SD","MGCCP",134.00
"SD","MGCCV",16.50
"SD","MGICB",1302.00
"SD","MGICD",24.40
"SD","MGICP",258.00
"SD","MGICV",31.80
"SD","MGTCB",59326.00
"SD","MGTCD",24.40
"SD","MGTCP",11748.00
"SD","MGTCV",1447.40
"TN","MGACB",390122.00
"TN","MGACD",23.27
"TN","MGACP",77252.00
"TN","MGACV",9077.70
"TN","MGCCB",7134.00
"TN","MGCCD",23.27
"TN","MGCCP",1413.00
"TN","MGCCV",166.00
"TN","MGICB",5893.00
"TN","MGICD",23.27
"TN","MGICP",1167.00
"TN","MGICV",137.10
"TN","MGTCB",403149.00
"TN","MGTCD",23.27
"TN","MGTCP",79832.00
"TN","MGTCV",9380.80
"TX","MGACB",1631914.00
"TX","MGACD",22.09
"TX","MGACP",323151.00
"TX","MGACV",36047.90
"TX","MGCCB",26193.00
"TX","MGCCD",22.09
"TX","MGCCP",5187.00
"TX","MGCCV",578.60
"TX","MGICB",19109.00
"TX","MGICD",22.09
"TX","MGICP",3784.00
"TX","MGICV",422.10
"TX","MGTCB",1677215.00
"TX","MGTCD",22.09
"TX","MGTCP",332122.00
"TX","MGTCV",37048.60
"US","MGACB",15610718.00
"US","MGACD",24.78
"US","MGACP",3091231.00
"US","MGACV",386884.30
"US","MGCCB",374564.00
"US","MGCCD",25.35
"US","MGCCP",74171.00
"US","MGCCV",9494.80
"US","MGICB",264255.00
"US","MGICD",25.14
"US","MGICP",52328.00
"US","MGICV",6642.50
"US","MGTCB",16249537.00
"US","MGTCD",24.80
"US","MGTCP",3217730.00
"US","MGTCV",403021.60
"UT","MGACB",141855.00
"UT","MGACD",27.61
"UT","MGACP",28090.00
"UT","MGACV",3916.90
"UT","MGCCB",2237.00
"UT","MGCCD",27.61
"UT","MGCCP",443.00
"UT","MGCCV",61.80
"UT","MGICB",2172.00
"UT","MGICD",27.61
"UT","MGICP",430.00
"UT","MGICV",60.00
"UT","MGTCB",146265.00
"UT","MGTCD",27.61
"UT","MGTCP",28963.00
"UT","MGTCV",4038.70
"VA","MGACB",458671.00
"VA","MGACD",23.08
"VA","MGACP",90826.00
"VA","MGACV",10585.20
"VA","MGCCB",11875.00
"VA","MGCCD",23.08
"VA","MGCCP",2352.00
"VA","MGCCV",274.10
"VA","MGICB",3835.00
"VA","MGICD",23.08
"VA","MGICP",759.00
"VA","MGICV",88.50
"VA","MGTCB",474381.00
"VA","MGTCD",23.08
"VA","MGTCP",93937.00
"VA","MGTCV",10947.70
"VT","MGACB",32186.00
"VT","MGACD",25.09
"VT","MGACP",6373.00
"VT","MGACV",807.70
"VT","MGCCB",720.00
"VT","MGCCD",25.09
"VT","MGCCP",143.00
"VT","MGCCV",18.10
"VT","MGICB",455.00
"VT","MGICD",25.09
"VT","MGICP",90.00
"VT","MGICV",11.40
"VT","MGTCB",33360.00
"VT","MGTCD",25.09
"VT","MGTCP",6606.00
"VT","MGTCV",837.20
"WA","MGACB",291963.00
"WA","MGACD",28.61
"WA","MGACP",57814.00
"WA","MGACV",8351.60
"WA","MGCCB",8150.00
"WA","MGCCD",28.61
"WA","MGCCP",1614.00
"WA","MGCCV",233.10
"WA","MGICB",5047.00
"WA","MGICD",28.61
"WA","MGICP",999.00
"WA","MGICV",144.40
"WA","MGTCB",305160.00
"WA","MGTCD",28.61
"WA","MGTCP",60428.00
"WA","MGTCV",8729.10
"WI","MGACB",295003.00
"WI","MGACD",24.77
"WI","MGACP",58416.00
"WI","MGACV",7306.20
"WI","MGCCB",6071.00
"WI","MGCCD",24.77
"WI","MGCCP",1202.00
"WI","MGCCV",150.40
"WI","MGICB",5047.00
"WI","MGICD",24.77
"WI","MGICP",999.00
"WI","MGICV",125.00
"WI","MGTCB",306121.00
"WI","MGTCD",24.77
"WI","MGTCP",60618.00
"WI","MGTCV",7581.60
"WV","MGACB",92790.00
"WV","MGACD",24.91
"WV","MGACP",18374.00
"WV","MGACV",2311.70
"WV","MGCCB",1910.00
"WV","MGCCD",24.91
"WV","MGCCP",378.00
"WV","MGCCV",47.60
"WV","MGICB",1326.00
"WV","MGICD",24.91
"WV","MGICP",263.00
"WV","MGICV",33.00
"WV","MGTCB",96026.00
"WV","MGTCD",24.91
"WV","MGTCP",19015.00
"WV","MGTCV",2392.30
"WY","MGACB",37660.00
"WY","MGACD",25.86
"WY","MGACP",7457.00
"WY","MGACV",974.10
"WY","MGCCB",488.00
"WY","MGCCD",25.86
"WY","MGCCP",97.00
"WY","MGCCV",12.60
"WY","MGICB",1196.00
"WY","MGICD",25.86
"WY","MGICP",237.00
"WY","MGICV",30.90
"WY","MGTCB",39344.00
"WY","MGTCD",25.86
"WY","MGTCP",7791.00
"WY","MGTCV",1017.60
