"State","MSN","2021"
"ME","ESRCV",861.60
"ME","ESTCB",39527.00
"ME","ESTCD",40.90
"ME","ESTCP",11585.00
"ME","ESTCV",1616.70
"MI","ESACB",11.00
"MI","ESACD",36.06
"MI","ESACP",3.00
"MI","ESACV",0.40
"MI","ESCCB",125769.00
"MI","ESCCD",36.07
"MI","ESCCP",36861.00
"MI","ESCCV",4537.10
"MI","ESICB",92401.00
"MI","ESICD",22.54
"MI","ESICP",27081.00
"MI","ESICV",2049.10
"MI","ESRCB",122382.00
"MI","ESRCD",51.39
"MI","ESRCP",35868.00
"MI","ESRCV",6289.80
"MI","ESTCB",340563.00
"MI","ESTCD",37.98
"MI","ESTCP",99813.00
"MI","ESTCV",12876.40
"MN","ESACB",78.00
"MN","ESACD",30.43
"MN","ESACP",23.00
"MN","ESACV",2.40
"MN","ESCCB",75382.00
"MN","ESCCD",32.88
"MN","ESCCP",22093.00
"MN","ESCCV",2478.40
"MN","ESICB",72427.00
"MN","ESICD",24.30
"MN","ESICP",21227.00
"MN","ESICV",1646.50
"MN","ESRCB",79316.00
"MN","ESRCD",39.57
"MN","ESRCP",23246.00
"MN","ESRCV",3138.30
"MN","ESTCB",227202.00
"MN","ESTCD",32.65
"MN","ESTCP",66589.00
"MN","ESTCV",7265.50
"MO","ESACB",70.00
"MO","ESACD",24.13
"MO","ESACP",21.00
"MO","ESACV",1.70
"MO","ESCCB",98905.00
"MO","ESCCD",26.87
"MO","ESCCP",28987.00
"MO","ESCCV",2657.60
"MO","ESICB",44651.00
"MO","ESICD",20.83
"MO","ESICP",13087.00
"MO","ESICV",929.90
"MO","ESRCB",121701.00
"MO","ESRCD",33.46
"MO","ESRCP",35668.00
"MO","ESRCV",4071.50
"MO","ESTCB",265327.00
"MO","ESTCD",28.87
"MO","ESTCP",77763.00
"MO","ESTCV",7660.80
"MS","ESACB",0.00
"MS","ESACD",0.00
"MS","ESACP",0.00
"MS","ESACV",0.00
"MS","ESCCB",46663.00
"MS","ESCCD",31.69
"MS","ESCCP",13676.00
"MS","ESCCV",1478.60
"MS","ESICB",53805.00
"MS","ESICD",17.45
"MS","ESICP",15769.00
"MS","ESICV",880.20
"MS","ESRCB",63361.00
"MS","ESRCD",33.87
"MS","ESRCP",18570.00
"MS","ESRCV",2145.80
"MS","ESTCB",163828.00
"MS","ESTCD",28.07
"MS","ESTCP",48015.00
"MS","ESTCV",4504.60
"MT","ESACB",0.00
"MT","ESACD",0.00
"MT","ESACP",0.00
"MT","ESACV",0.00
"MT","ESCCB",16740.00
"MT","ESCCD",30.89
"MT","ESCCP",4906.00
"MT","ESCCV",517.10
"MT","ESICB",15340.00
"MT","ESICD",18.28
"MT","ESICP",4496.00
"MT","ESICV",217.30
"MT","ESRCB",18969.00
"MT","ESRCD",32.89
"MT","ESRCP",5559.00
"MT","ESRCV",623.90
"MT","ESTCB",51049.00
"MT","ESTCD",28.54
"MT","ESTCP",14962.00
"MT","ESTCV",1358.30
"NC","ESACB",48.00
"NC","ESACD",23.00
"NC","ESACP",14.00
"NC","ESACV",1.10
"NC","ESCCB",162803.00
"NC","ESCCD",24.90
"NC","ESCCP",47715.00
"NC","ESCCV",4053.60
"NC","ESICB",92292.00
"NC","ESICD",17.99
"NC","ESICP",27049.00
"NC","ESICV",1660.50
"NC","ESRCB",207841.00
"NC","ESRCD",33.18
"NC","ESRCP",60915.00
"NC","ESRCV",6897.00
"NC","ESTCB",462985.00
"NC","ESTCD",27.24
"NC","ESTCP",135693.00
"NC","ESTCV",12612.20
"ND","ESACB",0.00
"ND","ESACD",0.00
"ND","ESACP",0.00
"ND","ESACV",0.00
"ND","ESCCB",23230.00
"ND","ESCCD",26.87
"ND","ESCCP",6808.00
"ND","ESCCV",624.30
"ND","ESICB",38100.00
"ND","ESICD",21.59
"ND","ESICP",11166.00
"ND","ESICV",806.40
"ND","ESRCB",16679.00
"ND","ESRCD",31.79
"ND","ESRCP",4888.00
"ND","ESRCV",530.30
"ND","ESTCB",78009.00
"ND","ESTCD",25.38
"ND","ESTCP",22863.00
"ND","ESTCV",1961.00
"NE","ESACB",0.00
"NE","ESACD",0.00
"NE","ESACP",0.00
"NE","ESACV",0.00
"NE","ESCCB",31597.00
"NE","ESCCD",25.81
"NE","ESCCP",9260.00
"NE","ESCCV",815.50
"NE","ESICB",42952.00
"NE","ESICD",21.29
"NE","ESICP",12588.00
"NE","ESICV",914.40
"NE","ESRCB",35800.00
"NE","ESRCD",31.51
"NE","ESRCP",10492.00
"NE","ESRCV",1128.00
"NE","ESTCB",110348.00
"NE","ESTCD",25.90
"NE","ESTCP",32341.00
"NE","ESTCV",2857.90
"NH","ESACB",0.00
"NH","ESACD",0.00
"NH","ESACP",0.00
"NH","ESACV",0.00
"NH","ESCCB",14012.00
"NH","ESCCD",47.27
"NH","ESCCP",4107.00
"NH","ESCCV",662.40
"NH","ESICB",6581.00
"NH","ESICD",40.47
"NH","ESICP",1929.00
"NH","ESICV",266.30
"NH","ESRCB",16486.00
"NH","ESRCD",58.18
"NH","ESRCP",4832.00
"NH","ESRCV",959.20
"NH","ESTCB",37079.00
"NH","ESTCD",50.92
"NH","ESTCP",10867.00
"NH","ESTCV",1888.00
"NJ","ESACB",851.00
"NJ","ESACD",27.09
"NJ","ESACP",249.00
"NJ","ESACV",23.10
"NJ","ESCCB",123300.00
"NJ","ESCCD",37.19
"NJ","ESCCP",36137.00
"NJ","ESCCV",4585.30
"NJ","ESICB",22497.00
"NJ","ESICD",31.36
