country,fh9800,fh90s,pol6670,pol70s,pol80s,pol90s,gdp90lgn,loggdp60s,loggdp70s,loggdp80s,muslimfish,islam,arab,catholic,opec,fuelavg,neighbors,polcomp7090,polcomp60s,polcomp70s,fatmids90s,fatmids60s,fatmids70s,fatmids80s,snew125fish,ltdf90pfish,wgvtnewfish,parl99,parl00,edrat97,edrat99,lifexp97,lifexp00,ecactr97,ecactr00,wommin00,litgap00,educgen,gini,urban
Japan,6.5,6.4299998,10,10,10,10,4.5878568,9.5436192,10.117993,10.413929,0,0,0,0.006,0,0.000440526,6.0700002,10,10,10,0,0,0,0,96,0,2,8.8999996,7.3000002,0.96511626,0.97590363,1.0794271,1.0904393,67.300003,67,5.6999998,0,82,0.23999999,78.400002
Jor,3.8333333,4.0499997,-9,-9.6999998,-8.3000002,-3.1300001,3.1571543,,7.2574129,7.5141401,1,0.89999998,1,0.017000001,0,3.24929E-05,-4.4400001,1.4761904,1,1,1,11,0,1,105.06,18,1,2.5,1.3,1.0754716,1.0754716,1.0377358,1.0390738,31,34,0,4.0999999,55,0.34,72.599998
Kaz,2.5,3.1500001,,,,-0.5,3.3165994,,,7.620348,1,0.54000002,0,0,0,0.12099495,-4.6799998,1.1428572,,,0,0,0,0,92.599998,3,2,11.4,10.4,1.0675676,1.1095891,1.1544586,1.1895093,82.699997,81,17.5,0,77,0.34,60.400002
Ken,2.5,2.25,-2.8,-6.8000002,-6.9000001,-4.25,2.5502284,5.3632565,5.7324395,5.8173146,0,0.2,0,0.264,0,0.016718481,-3.3499999,1.1428572,1.75,1.2,0,1,0,2,100.64,20,7,3.5999999,3.5999999,0.98000002,0.98076922,1.037182,1.03,85.900002,85,1.4,10,51,0.41999999,30.4
Kuw,3.3333333,3.0999999,-9,-9,-8,-7.25,4.1003704,10.518929,10.038935,9.2613258,1,0.89999998,1,0.021,1,0.3524355,-7.1300001,1,1,1,2,0,2,1,132.69,7,5,0,0,1.0535715,1.0701754,1.0553306,1.0550336,49.900002,48,0,5.5999999,59,0.36000001,97.300003
Kyr,2.8333333,4.0999999,,,,4.3800001,3.193681,,,6.4252973,1,0.74000001,0,0,0,0.03096894,-5.9000001,1.1428572,,,0,0,0,0,95.230003,3,3,4.8000002,10,1.0441177,1.0769231,1.1358609,1.1238245,85.099998,84,10.5,,68,0.38999999,39.200001
Laos,1.5,1.5,0,-4.1999998,-7,-7,2.506505,,,5.6739917,0,0,0,0.008,0,0,-1.41,1,0,0.60000002,0,0,0,6,98.040001,33,0,21.200001,21.200001,0.77419353,0.80000001,1.0480769,1.0478011,86.900002,84,10.2,18.799999,58,0.28999999,21.799999
Lat,6.5,5.9000001,,,,8,3.5685537,7.3792605,7.7843637,8.1049137,0,0,0,0.57999998,0,0.004588396,7.6799998,1.1428572,,,0,0,0,0,85.139999,0,25,17,17,1.0434783,1.0375,1.1904,1.171561,85,80,6.6999998,0.2,82,0.31,73.400002
Leb,2.5,2.6500001,2.5999999,2,0,-3,3.235781,,,7.5264826,1,0.69999999,1,0.36199999,0,4.81964E-05,4.5500002,7,6.0999999,2.8,1,1,1,2,95.019997,15,0,2.3,2.3,1.0131578,1.0657895,1.0528635,1.0433567,38.700001,39,0,6.6999998,78,0.36000001,88.5
Les,4,3.8499999,5.4000001,-7.4000001,-7,3.71,2.5682018,5.097868,5.598372,5.9502306,0,0,0,0.435,0,0,8.5,1.6190476,7.4000001,1.8,0,0,0,0,95.470001,,14,10.6,3.8,1.1698114,1.1403508,1.047532,0.99563318,56.799999,56,0,35.400002,61,0.52999997,25.6
